,corr_dist,corr_pearson,corr_reldist,corr_spearman,exp,mean_dist,mean_mindist,mean_pearson,mean_reldist,mean_slopedist,mean_slopedistT,mean_spearman
1113,1.2506062544,0.9358194354,0.8689096893,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1114,1.2506062544,0.9358194354,0.8610229308,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1115,1.2506062544,0.9358194354,0.8638539906,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1116,1.2506062544,0.9358194354,0.8663238509000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1117,1.2506062544,0.9358194354,0.8711613389,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1118,1.2506062544,0.9358194354,0.8692584510000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1119,1.2506062544,0.9358194354,0.8676961171,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
112,2.44438289,0.9269241426,0.1241831451,0.3828105634,biocon,3.197841274,0.38889178100000005,0.8424229752,0.44577180520000004,0.7149857245,0.38889178100000005,0.9494651324000001
1120,1.2506062544,0.9358194354,0.8666115966,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1121,1.2506062544,0.9358194354,0.8691894585000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1122,1.2506062544,0.9358194354,0.8762375488,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1123,1.2506062544,0.9358194354,0.8535698712,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1124,1.2506062544,0.9358194354,0.8808558003,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1125,1.2506062544,0.9358194354,0.8710056179000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1126,1.2506062544,0.9358194354,0.8525851468000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1127,1.2506062544,0.9358194354,0.86805341,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1128,1.2506062544,0.9358194354,0.8647080965,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1129,1.2506062544,0.9358194354,0.8722901696,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
113,2.44438289,0.9269241426,0.0966692299,0.3828105634,biocon,3.197841274,0.4380342305,0.8424229752,0.5295698444,0.5555200575,0.4380342305,0.9494651324000001
1130,1.2506062544,0.9358194354,0.8803673956,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1131,1.2506062544,0.9358194354,0.8685000810000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1132,1.2506062544,0.9358194354,0.8736566325,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1133,1.2506062544,0.9358194354,0.8672564901,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1134,1.2506062544,0.9358194354,0.8673179328,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1135,1.2506062544,0.9358194354,0.8615007638000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1136,1.2506062544,0.9358194354,0.8619029634,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1137,1.2506062544,0.9358194354,0.8735318489,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1138,1.2506062544,0.9358194354,0.8661642562,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1139,1.2506062544,0.9358194354,0.8727786593,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
114,2.44438289,0.9269241426,0.18385201410000002,0.3828105634,biocon,3.197841274,0.3261465514,0.8424229752,0.38725533430000003,0.5207933308,0.3261465514,0.9494651324000001
1140,1.2506062544,0.9358194354,0.8725171154,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1141,1.2506062544,0.9358194354,0.8571312892,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1142,1.2506062544,0.9358194354,0.8621521704,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1143,1.2506062544,0.9358194354,0.8711635335000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1144,1.2506062544,0.9358194354,0.8767958713,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1145,1.2506062544,0.9358194354,0.8654223090000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1146,1.2506062544,0.9358194354,0.8771252943000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1147,1.2506062544,0.9358194354,0.8676828114,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1148,1.2506062544,0.9358194354,0.8652249771,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1149,1.2506062544,0.9358194354,0.8680888670000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
115,2.44438289,0.9269241426,0.1279295718,0.3828105634,biocon,3.197841274,0.47085538600000004,0.8424229752,0.5424751560000001,0.47085538600000004,0.8265545820000001,0.9494651324000001
1150,1.2506062544,0.9358194354,0.8718527867,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1151,1.2506062544,0.9358194354,0.8644320842000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1152,1.2506062544,0.9358194354,0.8714463472,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1153,1.2506062544,0.9358194354,0.8645800640000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1154,1.2506062544,0.9358194354,0.86574795,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1155,1.2506062544,0.9358194354,0.8750227778,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1156,1.2506062544,0.9358194354,0.8631450013,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1157,1.2506062544,0.9358194354,0.8666641214,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1158,1.2506062544,0.9358194354,0.8607979277000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1159,1.2506062544,0.9358194354,0.8730381438,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
116,2.44438289,0.9269241426,0.0975290872,0.3828105634,biocon,3.197841274,0.1899918363,0.8424229752,0.44231971000000003,0.1899918363,0.7886950519,0.9494651324000001
1160,1.2506062544,0.9358194354,0.8700156248,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1161,1.2506062544,0.9358194354,0.8606202995000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1162,1.2506062544,0.9358194354,0.8602231020000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1163,1.2506062544,0.9358194354,0.8666915827,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1164,1.2506062544,0.9358194354,0.8576776457,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1165,1.2506062544,0.9358194354,0.8688735388000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1166,1.2506062544,0.9358194354,0.8627409529000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1167,1.2506062544,0.9358194354,0.8595898534,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1168,1.2506062544,0.9358194354,0.8572576321,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1169,1.2506062544,0.9358194354,0.8650924544,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
117,2.44438289,0.9269241426,0.0847530148,0.3828105634,biocon,3.197841274,0.3865610342,0.8424229752,0.3865610342,0.8628080439,0.6773284651,0.9494651324000001
