,replica,i,j,beta_ij,E[beta_ij],A[beta_ij]
6599,117,6,5,0.3260226630791298,0.28929336966529096,0.4972411601353537
91,1,5,0,0.3260226630791298,0.28930207802381747,0.3409382019164167
8186,146,1,4,0.3260226630791298,0.2893026683442783,0.18692242608575815
3597,64,1,7,0.32623557488042587,0.28935084798460087,0.3856822125914808
5984,106,6,7,0.32604227454947465,0.28938748492646515,0.39712513893686674
4888,87,2,3,0.326290486003946,0.2894078123620032,0.3652286218646908
8222,146,6,4,0.326290486003946,0.28941472929265494,0.273587917204982
5925,105,6,3,0.32592614961861005,0.28946423823129486,0.3857317507828477
3147,56,1,5,0.3260600577418362,0.2894791185529372,0.3963037994171435
7186,128,2,5,0.3267385099961094,0.2895352612077934,0.4128291783985464
3444,61,4,0,0.3267385099961094,0.28953646736203187,0.37937025657884377
7627,136,1,5,0.3267385099961094,0.28953807751167665,0.44196554934609816
6677,119,1,7,0.32710748269813944,0.2895476317717004,0.22965418046796063
6516,116,2,7,0.3274429148462395,0.2895501750741495,0.6228817963765654
3320,59,2,3,0.32725687583552554,0.2895818481930225,0.39650980791525203
2517,44,7,4,0.3274346273037598,0.28958448638723505,0.7213607007084804
4440,79,2,3,0.3274346273037598,0.2895993010404865,0.3204705221565868
7128,127,2,3,0.3275797982847617,0.28964341324061266,0.3919251678990744
4322,77,1,4,0.32765488406567017,0.2897132805711011,0.4207716773374285
8229,146,7,4,0.32765488406567017,0.28971628773060515,0.6028371216018421
1919,34,2,1,0.32765488406567017,0.28973004189277074,0.5478071377977797
7636,136,2,7,0.3280096713884447,0.28978668292398185,0.4377334376865823
2172,38,6,2,0.3276826897568985,0.2898478724584316,0.4209926068745263
77,1,3,0,0.3275806632789094,0.28990004916178763,0.3284247829391332
3375,60,2,1,0.3278781540600395,0.2899159342998109,0.23569429126706792
4882,87,1,4,0.3277215781112953,0.28992836169311237,0.21804808997272696
5474,97,6,0,0.3278711117090383,0.2900587806878218,0.4717274841875347
8017,143,1,3,0.3278711117090383,0.29008421557923414,0.18560377405469752
7351,131,2,1,0.3272537787836886,0.2901592259451295,0.348291480886323
7849,140,1,3,0.3272447115719897,0.2902081676338728,0.1991571961621716
2481,44,2,4,0.32764096384802127,0.29022757679084765,0.334901487175545
2259,40,2,6,0.32793978852996214,0.2902636896659131,0.5415156845865738
6098,108,7,1,0.32779892226953655,0.29030049360943927,0.37867409767215204
536,9,4,5,0.32779892226953655,0.2903031451126286,0.40529351363442695
3322,59,2,5,0.32755403343965594,0.2903791714800869,0.41645340358687777
3517,62,6,3,0.32755403343965594,0.2903836173072797,0.2697955030810776
3761,67,1,3,0.3275687679678588,0.29044641679810235,0.12633182084136324
7355,131,2,6,0.32739871357284095,0.29045683867570726,0.3580139613511956
3850,68,6,0,0.32739871357284095,0.29049150115726485,0.4407844930924413
1663,29,5,4,0.32748603778744495,0.2905098475395991,0.36455031163100343
4886,87,2,0,0.32753055885625276,0.2905890980466311,0.3635340437963842
1648,29,3,4,0.32753055885625276,0.2905976698071762,0.3999944130491803
2478,44,2,0,0.32753055885625276,0.2906015792454021,0.3378776450136071
851,15,1,5,0.32753055885625276,0.2906045883982798,0.4925030018488048
1694,30,2,0,0.327576043731492,0.2906120999090523,0.5120251308495058
2425,43,2,4,0.32780781435524353,0.2906606768563641,0.4561434221498376
4329,77,2,4,0.3283165959378148,0.29068328653934533,0.4277741642535374
1690,30,1,4,0.3281831999351295,0.29068556126101447,0.4420109452079653
3350,59,6,4,0.3283378080506642,0.29074730017691286,0.2709980408549373
4610,82,2,5,0.32831935994996353,0.29078288358982507,0.4473565457463656
987,17,5,0,0.3287640180353108,0.29081569180627054,0.3024370025525254
5256,93,6,7,0.32876162815581916,0.2908933686953478,0.45204650201282304
8190,146,2,0,0.32882178888578983,0.2909428531819276,0.27889838091610036
384,6,6,7,0.32901479945876083,0.29100114088740264,0.42231229871119147
3154,56,2,5,0.32901479945876083,0.29101046303816225,0.461241481918109
506,9,0,3,0.32901479945876083,0.2910130279182029,0.27018283080230965
2488,44,3,4,0.3287261662735936,0.2910895146472303,0.34418312706695364
7101,126,6,3,0.32871244645092945,0.2911356557692438,0.4159514639046549
7740,138,1,6,0.32872697484548363,0.29114610001791363,0.39509705661653405
6845,122,1,7,0.3289827184136236,0.29116174899453867,0.44728403753847573
4889,87,2,4,0.3289827184136236,0.29117196572308,0.3616838243130545
1627,29,0,4,0.3289760083674761,0.29126954258685794,0.05916583002755884
6005,107,1,7,0.3290219117284594,0.29136189032393994,0.5029384388413606
6173,110,1,7,0.3290190657370238,0.2913822220260735,0.2220668984688233
1610,28,6,0,0.3294168266236758,0.2914911454750181,0.30379221840475334
4813,85,7,4,0.32943372031990464,0.2915166547248881,0.6177920927810958
8193,146,2,4,0.32948553084117643,0.2915762540634224,0.3475405742232452
2503,44,5,4,0.32948553084117643,0.2915965473743719,0.33515021034653486
1897,33,7,0,0.32948553084117643,0.2915982492430266,0.3494843714321395
1697,30,2,4,0.32918921991152483,0.2917127737250794,0.4978574508657899
4557,81,3,0,0.32937292718870315,0.2917286803668605,0.37578515297818144
7232,129,1,2,0.3295764636167658,0.2917752175739471,0.06369294164741807
973,17,3,0,0.3294952248842225,0.2918092540671075,0.4155440642665349
7858,140,2,5,0.32975503844004067,0.2918116757815187,0.5130226600039159
